datetime,toimipiste,aikaryhman,aikaryhma,laakari,RESURSSI,ETNS,ETNS_A,kesto_min,ETNS_B,tyhja
2024-01-02 09:20,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,General Gynecology,1,60,1,0
2024-01-02 10:20,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,General Gynecology,1,20,1,1
2024-01-02 10:40,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,General Gynecology,1,20,1,0
2024-01-02 11:00,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,General Gynecology,1,20,1,1
2024-01-02 11:20,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,General Gynecology,1,60,1,0
2024-01-02 12:20,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,General Gynecology,1,20,1,0
2024-01-02 12:40,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,General Gynecology,1,30,1,0
2024-01-02 13:10,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,General Gynecology,1,20,1,1
2024-01-02 13:30,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,General Gynecology,1,20,1,1
2024-01-02 13:50,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,General Gynecology,1,30,1,1
2024-01-02 14:20,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,General Gynecology,1,20,1,0
2024-01-02 14:40,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,General Gynecology,1,20,1,1
2024-01-02 15:00,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,General Gynecology,1,20,1,0
2024-01-02 15:20,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,General Gynecology,1,20,1,1
2024-01-02 15:40,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,General Gynecology,1,20,1,0
2024-01-02 10:00,Lääkäriasema Koski,In-person appointment,IA,Dr. B,General practitioner,Family Medicine,1,20,1,0
2024-01-02 10:20,Lääkäriasema Koski,Remote consultation,RC,Dr. B,General practitioner,Family Medicine,1,30,1,1
2024-01-02 10:50,Lääkäriasema Koski,Remote consultation,RC,Dr. B,General practitioner,Family Medicine,1,20,1,1
2024-01-02 11:10,Lääkäriasema Koski,In-person appointment,IA,Dr. B,General practitioner,Family Medicine,1,20,1,1
2024-01-02 11:30,Lääkäriasema Koski,Remote consultation,RC,Dr. B,General practitioner,Family Medicine,1,20,1,0
2024-01-02 11:50,Lääkäriasema Koski,In-person appointment,IA,Dr. B,General practitioner,Family Medicine,1,30,1,1
2024-01-02 12:20,Lääkäriasema Koski,Remote consultation,RC,Dr. B,General practitioner,Family Medicine,1,20,1,1
2024-01-02 12:40,Lääkäriasema Koski,Remote consultation,RC,Dr. B,General practitioner,Family Medicine,1,20,1,0
2024-01-02 13:00,Lääkäriasema Koski,In-person appointment,IA,Dr. B,General practitioner,Family Medicine,1,20,1,0
2024-01-02 13:20,Lääkäriasema Koski,In-person appointment,IA,Dr. B,General practitioner,Family Medicine,1,30,1,0
2024-01-02 13:50,Lääkäriasema Koski,Remote consultation,RC,Dr. B,General practitioner,Family Medicine,1,20,1,0
2024-01-02 14:10,Lääkäriasema Koski,Remote consultation,RC,Dr. B,General practitioner,Family Medicine,1,20,1,1
2024-01-02 14:30,Lääkäriasema Koski,In-person appointment,IA,Dr. B,General practitioner,Family Medicine,1,20,1,1
2024-01-02 14:50,Lääkäriasema Koski,Remote consultation,RC,Dr. B,General practitioner,Family Medicine,1,20,1,0
2024-01-02 15:10,Lääkäriasema Koski,In-person appointment,IA,Dr. B,General practitioner,Family Medicine,1,20,1,0
2024-01-02 15:30,Lääkäriasema Koski,In-person appointment,IA,Dr. B,General practitioner,Family Medicine,1,30,1,0
2024-01-02 16:00,Lääkäriasema Koski,In-person appointment,IA,Dr. B,General practitioner,Family Medicine,1,30,1,1
2024-01-02 16:30,Lääkäriasema Koski,In-person appointment,IA,Dr. B,General practitioner,Family Medicine,1,20,1,1
2024-01-02 16:50,Lääkäriasema Koski,In-person appointment,IA,Dr. B,General practitioner,Family Medicine,1,20,1,1
2024-01-02 09:00,Lääkäriasema Koski,Remote consultation,RC,Dr. E,Gynecology,General Gynecology,1,20,1,1
2024-01-02 09:20,Lääkäriasema Koski,Remote consultation,RC,Dr. E,Gynecology,General Gynecology,1,20,1,1
2024-01-02 09:40,Lääkäriasema Koski,Remote consultation,RC,Dr. E,Gynecology,General Gynecology,1,30,1,1
2024-01-02 10:10,Lääkäriasema Koski,Remote consultation,RC,Dr. E,Gynecology,General Gynecology,1,30,1,1
2024-01-02 10:40,Lääkäriasema Koski,Remote consultation,RC,Dr. E,Gynecology,General Gynecology,1,30,1,1
2024-01-02 11:10,Lääkäriasema Koski,In-person appointment,IA,Dr. E,Gynecology,General Gynecology,1,20,1,1
2024-01-02 11:30,Lääkäriasema Koski,Remote consultation,RC,Dr. E,Gynecology,General Gynecology,1,20,1,1
2024-01-02 11:50,Lääkäriasema Koski,In-person appointment,IA,Dr. E,Gynecology,General Gynecology,1,20,1,0
2024-01-02 12:10,Lääkäriasema Koski,Remote consultation,RC,Dr. E,Gynecology,General Gynecology,1,60,1,1
2024-01-02 13:10,Lääkäriasema Koski,Remote consultation,RC,Dr. E,Gynecology,General Gynecology,1,20,1,0
2024-01-02 13:30,Lääkäriasema Koski,Remote consultation,RC,Dr. E,Gynecology,General Gynecology,1,20,1,1
2024-01-02 13:50,Lääkäriasema Koski,In-person appointment,IA,Dr. E,Gynecology,General Gynecology,1,20,1,0
2024-01-02 14:10,Lääkäriasema Koski,Remote consultation,RC,Dr. E,Gynecology,General Gynecology,1,20,1,0
2024-01-02 14:30,Lääkäriasema Koski,In-person appointment,IA,Dr. E,Gynecology,General Gynecology,1,20,1,0
2024-01-02 14:50,Lääkäriasema Koski,In-person appointment,IA,Dr. E,Gynecology,General Gynecology,1,20,1,0
2024-01-02 15:10,Lääkäriasema Koski,In-person appointment,IA,Dr. E,Gynecology,General Gynecology,1,30,1,1
2024-01-02 15:40,Lääkäriasema Koski,Remote consultation,RC,Dr. E,Gynecology,General Gynecology,1,30,1,1
2024-01-02 16:10,Lääkäriasema Koski,In-person appointment,IA,Dr. E,Gynecology,General Gynecology,1,30,1,1
2024-01-02 16:40,Lääkäriasema Koski,Remote consultation,RC,Dr. E,Gynecology,General Gynecology,1,20,1,1
2024-01-03 08:00,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-03 08:20,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,20,1,0
2024-01-03 08:40,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-03 09:00,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,30,1,0
2024-01-03 09:30,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,20,1,0
2024-01-03 09:50,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-03 10:10,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,20,1,0
2024-01-03 10:30,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-03 10:50,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,30,1,1
2024-01-03 11:20,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,60,1,1
2024-01-03 12:20,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-03 12:40,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-03 13:00,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,30,1,0
2024-01-03 13:30,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,60,1,0
2024-01-03 14:30,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,20,1,0
2024-01-03 14:50,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,30,1,1
2024-01-03 15:20,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-03 15:40,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-03 10:00,Lääkäriasema Koski,In-person appointment,IA,Dr. B,General practitioner,Internal Medicine,1,30,1,0
2024-01-03 10:30,Lääkäriasema Koski,In-person appointment,IA,Dr. B,General practitioner,Internal Medicine,1,20,1,0
2024-01-03 10:50,Lääkäriasema Koski,In-person appointment,IA,Dr. B,General practitioner,Internal Medicine,1,60,1,0
2024-01-03 11:50,Lääkäriasema Koski,In-person appointment,IA,Dr. B,General practitioner,Internal Medicine,1,30,1,0
2024-01-03 12:20,Lääkäriasema Koski,Remote consultation,RC,Dr. B,General practitioner,Internal Medicine,1,20,1,0
2024-01-03 12:40,Lääkäriasema Koski,Remote consultation,RC,Dr. B,General practitioner,Internal Medicine,1,60,1,1
2024-01-03 13:40,Lääkäriasema Koski,In-person appointment,IA,Dr. B,General practitioner,Internal Medicine,1,20,1,0
2024-01-03 14:00,Lääkäriasema Koski,In-person appointment,IA,Dr. B,General practitioner,Internal Medicine,1,20,1,0
2024-01-03 14:20,Lääkäriasema Koski,In-person appointment,IA,Dr. B,General practitioner,Internal Medicine,1,60,1,1
2024-01-03 15:20,Lääkäriasema Koski,Remote consultation,RC,Dr. B,General practitioner,Internal Medicine,1,20,1,1
2024-01-03 15:40,Lääkäriasema Koski,In-person appointment,IA,Dr. B,General practitioner,Internal Medicine,1,30,1,1
2024-01-03 16:10,Lääkäriasema Koski,In-person appointment,IA,Dr. B,General practitioner,Internal Medicine,1,20,1,1
2024-01-03 16:30,Lääkäriasema Koski,Remote consultation,RC,Dr. B,General practitioner,Internal Medicine,1,20,1,1
2024-01-03 16:50,Lääkäriasema Koski,In-person appointment,IA,Dr. B,General practitioner,Internal Medicine,1,30,1,0
2024-01-03 12:00,Lääkäriasema Koski,Remote consultation,RC,Dr. C,Orthopedic surgeon,Spine Surgery,1,20,1,0
2024-01-03 12:20,Lääkäriasema Koski,In-person appointment,IA,Dr. C,Orthopedic surgeon,Spine Surgery,1,20,1,1
2024-01-03 12:40,Lääkäriasema Koski,Remote consultation,RC,Dr. C,Orthopedic surgeon,Spine Surgery,1,30,1,1
2024-01-03 13:10,Lääkäriasema Koski,In-person appointment,IA,Dr. C,Orthopedic surgeon,Spine Surgery,1,20,1,1
2024-01-03 13:30,Lääkäriasema Koski,Remote consultation,RC,Dr. C,Orthopedic surgeon,Spine Surgery,1,20,1,0
2024-01-03 13:50,Lääkäriasema Koski,In-person appointment,IA,Dr. C,Orthopedic surgeon,Spine Surgery,1,20,1,0
2024-01-03 14:10,Lääkäriasema Koski,Remote consultation,RC,Dr. C,Orthopedic surgeon,Spine Surgery,1,20,1,0
2024-01-03 14:30,Lääkäriasema Koski,Remote consultation,RC,Dr. C,Orthopedic surgeon,Spine Surgery,1,20,1,1
2024-01-03 14:50,Lääkäriasema Koski,In-person appointment,IA,Dr. C,Orthopedic surgeon,Spine Surgery,1,20,1,1
2024-01-03 15:10,Lääkäriasema Koski,Remote consultation,RC,Dr. C,Orthopedic surgeon,Spine Surgery,1,20,1,0
2024-01-03 15:30,Lääkäriasema Koski,Remote consultation,RC,Dr. C,Orthopedic surgeon,Spine Surgery,1,20,1,1
2024-01-03 15:50,Lääkäriasema Koski,In-person appointment,IA,Dr. C,Orthopedic surgeon,Spine Surgery,1,20,1,1
2024-01-03 16:10,Lääkäriasema Koski,In-person appointment,IA,Dr. C,Orthopedic surgeon,Spine Surgery,1,60,1,1
2024-01-03 17:10,Lääkäriasema Koski,In-person appointment,IA,Dr. C,Orthopedic surgeon,Spine Surgery,1,20,1,0
2024-01-03 17:30,Lääkäriasema Koski,Remote consultation,RC,Dr. C,Orthopedic surgeon,Spine Surgery,1,20,1,1
2024-01-03 17:50,Lääkäriasema Koski,Remote consultation,RC,Dr. C,Orthopedic surgeon,Spine Surgery,1,20,1,1
2024-01-03 18:10,Lääkäriasema Koski,Remote consultation,RC,Dr. C,Orthopedic surgeon,Spine Surgery,1,20,1,0
2024-01-03 18:30,Lääkäriasema Koski,In-person appointment,IA,Dr. C,Orthopedic surgeon,Spine Surgery,1,20,1,1
2024-01-03 18:50,Lääkäriasema Koski,Remote consultation,RC,Dr. C,Orthopedic surgeon,Spine Surgery,1,20,1,1
2024-01-03 19:10,Lääkäriasema Koski,Remote consultation,RC,Dr. C,Orthopedic surgeon,Spine Surgery,1,20,1,1
2024-01-03 09:00,Lääkäriasema Virta,Remote consultation,RC,Dr. E,Gynecology,Fertility,1,30,1,0
2024-01-03 09:30,Lääkäriasema Virta,In-person appointment,IA,Dr. E,Gynecology,Fertility,1,20,1,1
2024-01-03 09:50,Lääkäriasema Virta,Remote consultation,RC,Dr. E,Gynecology,Fertility,1,20,1,0
2024-01-03 10:10,Lääkäriasema Virta,In-person appointment,IA,Dr. E,Gynecology,Fertility,1,30,1,0
2024-01-03 10:40,Lääkäriasema Virta,In-person appointment,IA,Dr. E,Gynecology,Fertility,1,20,1,1
2024-01-03 11:00,Lääkäriasema Virta,Remote consultation,RC,Dr. E,Gynecology,Fertility,1,20,1,1
2024-01-03 11:20,Lääkäriasema Virta,Remote consultation,RC,Dr. E,Gynecology,Fertility,1,20,1,0
2024-01-03 11:40,Lääkäriasema Virta,Remote consultation,RC,Dr. E,Gynecology,Fertility,1,20,1,1
2024-01-03 12:00,Lääkäriasema Virta,In-person appointment,IA,Dr. E,Gynecology,Fertility,1,20,1,0
2024-01-03 12:20,Lääkäriasema Virta,Remote consultation,RC,Dr. E,Gynecology,Fertility,1,20,1,1
2024-01-03 12:40,Lääkäriasema Virta,Remote consultation,RC,Dr. E,Gynecology,Fertility,1,20,1,1
2024-01-03 13:00,Lääkäriasema Virta,Remote consultation,RC,Dr. E,Gynecology,Fertility,1,20,1,0
2024-01-03 13:20,Lääkäriasema Virta,In-person appointment,IA,Dr. E,Gynecology,Fertility,1,20,1,0
2024-01-03 13:40,Lääkäriasema Virta,Remote consultation,RC,Dr. E,Gynecology,Fertility,1,20,1,1
2024-01-03 14:00,Lääkäriasema Virta,Remote consultation,RC,Dr. E,Gynecology,Fertility,1,20,1,0
2024-01-03 14:20,Lääkäriasema Virta,In-person appointment,IA,Dr. E,Gynecology,Fertility,1,20,1,0
2024-01-03 14:40,Lääkäriasema Virta,Remote consultation,RC,Dr. E,Gynecology,Fertility,1,30,1,0
2024-01-03 15:10,Lääkäriasema Virta,In-person appointment,IA,Dr. E,Gynecology,Fertility,1,60,1,1
2024-01-03 16:10,Lääkäriasema Virta,Remote consultation,RC,Dr. E,Gynecology,Fertility,1,20,1,0
2024-01-03 11:00,Lääkäriasema Koski,Remote consultation,RC,Dr. F,Orthopedic surgeon,Joint Replacement,1,30,1,0
2024-01-03 11:30,Lääkäriasema Koski,In-person appointment,IA,Dr. F,Orthopedic surgeon,Joint Replacement,1,20,1,1
2024-01-03 11:50,Lääkäriasema Koski,Remote consultation,RC,Dr. F,Orthopedic surgeon,Joint Replacement,1,60,1,1
2024-01-03 12:50,Lääkäriasema Koski,Remote consultation,RC,Dr. F,Orthopedic surgeon,Joint Replacement,1,20,1,1
2024-01-03 13:10,Lääkäriasema Koski,In-person appointment,IA,Dr. F,Orthopedic surgeon,Joint Replacement,1,20,1,1
2024-01-03 13:30,Lääkäriasema Koski,In-person appointment,IA,Dr. F,Orthopedic surgeon,Joint Replacement,1,20,1,1
2024-01-03 13:50,Lääkäriasema Koski,Remote consultation,RC,Dr. F,Orthopedic surgeon,Joint Replacement,1,60,1,1
2024-01-03 14:50,Lääkäriasema Koski,Remote consultation,RC,Dr. F,Orthopedic surgeon,Joint Replacement,1,20,1,1
2024-01-03 15:10,Lääkäriasema Koski,Remote consultation,RC,Dr. F,Orthopedic surgeon,Joint Replacement,1,20,1,1
2024-01-03 15:30,Lääkäriasema Koski,In-person appointment,IA,Dr. F,Orthopedic surgeon,Joint Replacement,1,20,1,1
2024-01-03 15:50,Lääkäriasema Koski,In-person appointment,IA,Dr. F,Orthopedic surgeon,Joint Replacement,1,20,1,1
2024-01-03 16:10,Lääkäriasema Koski,Remote consultation,RC,Dr. F,Orthopedic surgeon,Joint Replacement,1,30,1,0
2024-01-03 16:40,Lääkäriasema Koski,In-person appointment,IA,Dr. F,Orthopedic surgeon,Joint Replacement,1,30,1,0
2024-01-03 17:10,Lääkäriasema Koski,In-person appointment,IA,Dr. F,Orthopedic surgeon,Joint Replacement,1,20,1,1
2024-01-03 17:30,Lääkäriasema Koski,Remote consultation,RC,Dr. F,Orthopedic surgeon,Joint Replacement,1,30,1,1
2024-01-03 18:00,Lääkäriasema Koski,Remote consultation,RC,Dr. F,Orthopedic surgeon,Joint Replacement,1,60,1,1
2024-01-04 08:00,Lääkäriasema Tulva,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-04 08:20,Lääkäriasema Tulva,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,60,1,1
2024-01-04 09:20,Lääkäriasema Tulva,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-04 09:40,Lääkäriasema Tulva,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-04 10:00,Lääkäriasema Tulva,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,60,1,0
2024-01-04 11:00,Lääkäriasema Tulva,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,20,1,0
2024-01-04 11:20,Lääkäriasema Tulva,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,20,1,0
2024-01-04 11:40,Lääkäriasema Tulva,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-04 12:00,Lääkäriasema Tulva,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-04 12:20,Lääkäriasema Tulva,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,30,1,1
2024-01-04 12:50,Lääkäriasema Tulva,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,20,1,0
2024-01-04 13:10,Lääkäriasema Tulva,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-04 13:30,Lääkäriasema Tulva,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-04 13:50,Lääkäriasema Tulva,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,30,1,0
2024-01-04 14:20,Lääkäriasema Tulva,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,30,1,1
2024-01-04 14:50,Lääkäriasema Tulva,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,30,1,1
2024-01-04 15:20,Lääkäriasema Tulva,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-04 15:40,Lääkäriasema Tulva,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-04 10:00,Lääkäriasema Koski,Remote consultation,RC,Dr. B,General practitioner,Preventive Care,1,60,1,1
2024-01-04 11:00,Lääkäriasema Koski,In-person appointment,IA,Dr. B,General practitioner,Preventive Care,1,30,1,1
2024-01-04 11:30,Lääkäriasema Koski,Remote consultation,RC,Dr. B,General practitioner,Preventive Care,1,30,1,0
2024-01-04 12:00,Lääkäriasema Koski,In-person appointment,IA,Dr. B,General practitioner,Preventive Care,1,20,1,1
2024-01-04 12:20,Lääkäriasema Koski,Remote consultation,RC,Dr. B,General practitioner,Preventive Care,1,20,1,1
2024-01-04 12:40,Lääkäriasema Koski,Remote consultation,RC,Dr. B,General practitioner,Preventive Care,1,20,1,0
